issue,number,state,link
Return gradient 0 in mixed_precison setting,47884,open,https://github.com/tensorflow/tensorflow/issues/47884
"Unable to install Tensorflow due to one of the file named ""getObjectTorrentRequest.h"" file , Torrent named file are blocked in various system across organisations.",47883,open,https://github.com/tensorflow/tensorflow/issues/47883
"How Is Padding Calculated for Conv1D,2D,....",47882,open,https://github.com/tensorflow/tensorflow/issues/47882
Extracting tf.Variable() in numpy or tensor format for further processing from a ListWrapper(),47881,open,https://github.com/tensorflow/tensorflow/issues/47881
"Corrected Spell, punctuation and grammar",47880,open,https://github.com/tensorflow/tensorflow/issues/47880
Keras model functional build of a dynamic lambda layer fails with `RecursionError`,47879,closed,https://github.com/tensorflow/tensorflow/issues/47879
tensorflow 2.4.1 incompatibility with numpy 1.20.1,47878,closed,https://github.com/tensorflow/tensorflow/issues/47878
 module 'tensorflow.keras.layers' has no attribute 'MulitiHeadAttention',47877,closed,https://github.com/tensorflow/tensorflow/issues/47877
Tensorflow not using GPU eventhough it is detecting it.,47876,closed,https://github.com/tensorflow/tensorflow/issues/47876
Nvidia RTX 3090 is slower than Nvidia GTX 1080Ti for single image prediction,47875,open,https://github.com/tensorflow/tensorflow/issues/47875
Could not load dynamic library 'libcusolver.so.10'; dlerror: libcusolver.so.10: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cuda-11.2/lib64:/usr/local/cuda/extras/CUPTI/lib64:/usr/local/cuda/lib64,47874,closed,https://github.com/tensorflow/tensorflow/issues/47874
modernize Python in losses.py and its tests,47873,open,https://github.com/tensorflow/tensorflow/issues/47873
Multi input/output model works correctly in TF 1.15; produces error in TF 2.4.1,47872,open,https://github.com/tensorflow/tensorflow/issues/47872
Unnecessary Device to Host copies,47871,open,https://github.com/tensorflow/tensorflow/issues/47871
Confine Tensorflow v2.3.2 C API to use only one thread.,47870,open,https://github.com/tensorflow/tensorflow/issues/47870
[TFLM] Removed uint8 support from Softmax,47869,closed,https://github.com/tensorflow/tensorflow/issues/47869
clearer commenting dictation,47868,closed,https://github.com/tensorflow/tensorflow/issues/47868
[Intel MKL] Upgrading to oneDNN 2.1,47867,closed,https://github.com/tensorflow/tensorflow/issues/47867
Incompatibility between `set_visible_devices()` and `from_dlpack()`,47866,open,https://github.com/tensorflow/tensorflow/issues/47866
[TFLM] Remove uint8 support from Quantize,47865,closed,https://github.com/tensorflow/tensorflow/issues/47865
micro: L2_POOL_2D PR3-5,47864,open,https://github.com/tensorflow/tensorflow/issues/47864
OOM errors running multiprocessing inference,47863,open,https://github.com/tensorflow/tensorflow/issues/47863
TensorFlow-Lite: need for ruy library,47862,open,https://github.com/tensorflow/tensorflow/issues/47862
Cannot limit GPU memory with MultiWorkerMirroredStrategy,47861,open,https://github.com/tensorflow/tensorflow/issues/47861
Mark header-implemented functions as inline,47860,closed,https://github.com/tensorflow/tensorflow/issues/47860
Android: TFLite GPU delegate has very little gain of performance over CPU,47859,open,https://github.com/tensorflow/tensorflow/issues/47859
Quantization Aware Training does not seem to perform per-channel quantization with AllValuesQuantizer,47858,open,https://github.com/tensorflow/tensorflow/issues/47858
Are you using old TFLite binary with newer model?Registration failed.,47857,open,https://github.com/tensorflow/tensorflow/issues/47857
"After training the model , how I can save it? or from which folder I can download my trained model?",47856,open,https://github.com/tensorflow/tensorflow/issues/47856
Update CMSIS kernels,47855,closed,https://github.com/tensorflow/tensorflow/issues/47855
training_a_model.md problem,47854,open,https://github.com/tensorflow/tensorflow/issues/47854
Creating ragged tensors is incredibly slow,47853,open,https://github.com/tensorflow/tensorflow/issues/47853
tf.train.Server session_config parameter cannot be configured by Estimator,47852,open,https://github.com/tensorflow/tensorflow/issues/47852
[ROCm] Switching to rocblas_gemm_ex for MFMA-enabled architectures,47851,open,https://github.com/tensorflow/tensorflow/issues/47851
Support ccache in cmake build.,47850,closed,https://github.com/tensorflow/tensorflow/issues/47850
C API Binary Release for 2.4.0 Has Invalid Symbol Table,47849,open,https://github.com/tensorflow/tensorflow/issues/47849
Keras tuner - Missing validation split for model training,47848,closed,https://github.com/tensorflow/tensorflow/issues/47848
Fix incorrect CUDA version specification in Dockerfiles,47847,closed,https://github.com/tensorflow/tensorflow/issues/47847
Training BERT for QNLI task - Fitting the model stops after the first Epoch without crash. No warning or error given to understand why it is happening.,47846,open,https://github.com/tensorflow/tensorflow/issues/47846
"@amahendrakar, I did check this link (before raising the support request), some changes are made, but still, there are errors. I have attached the ipynb file. Please support.",47845,closed,https://github.com/tensorflow/tensorflow/issues/47845
Fix std error when building the magic-wand demo for zephyr_vexriscv,47844,closed,https://github.com/tensorflow/tensorflow/issues/47844
<Removed>,47843,closed,https://github.com/tensorflow/tensorflow/issues/47843
TFLM: download a specific version of renode,47842,closed,https://github.com/tensorflow/tensorflow/issues/47842
Renode download fails from time to time,47841,open,https://github.com/tensorflow/tensorflow/issues/47841
TF-TRT Enable Conv2DBackpropInput conversion in explicit batch mode,47840,closed,https://github.com/tensorflow/tensorflow/issues/47840
Update CMSIS ref kernel wrappers.,47839,closed,https://github.com/tensorflow/tensorflow/issues/47839
Compressed pruned model is the same size as compressed baseline model,47838,open,https://github.com/tensorflow/tensorflow/issues/47838
constants.SAVED_MODEL_FILENAME_PB)) OSError: SavedModel file does not exist at: /home/pi/Downloads/tf_lite_model.h5/{saved_model.pbtxt|saved_model.pb},47837,open,https://github.com/tensorflow/tensorflow/issues/47837
issue with multi objects detection (using ssd_resnet50_v1_fpn_640x640_coco17_tpu-8),47836,closed,https://github.com/tensorflow/tensorflow/issues/47836
fix datatypes in cwise and gather ops,47835,open,https://github.com/tensorflow/tensorflow/issues/47835
error about Kernel8bitNeonDotprodOutOfOrder  occurs  when running int8 CPU inference by tflite,47834,open,https://github.com/tensorflow/tensorflow/issues/47834
Lazy load optional modules to speedup pip package import,47833,closed,https://github.com/tensorflow/tensorflow/issues/47833
Bazel build fails downloading sqlite-amalgamation-3340100.zip,47832,closed,https://github.com/tensorflow/tensorflow/issues/47832
'Windows fatal exception: access violation' with tensor flow object detection,47831,open,https://github.com/tensorflow/tensorflow/issues/47831
Remove uint8 support from conv and depthwise conv.,47830,closed,https://github.com/tensorflow/tensorflow/issues/47830
Conv2D output not compatible with ZeroPadding3D input,47829,open,https://github.com/tensorflow/tensorflow/issues/47829
[Intel MKL] Enable Conv2D plus FusedBatchNorm and optional activation fusion,47828,open,https://github.com/tensorflow/tensorflow/issues/47828
"ValueError: None is only supported in the 1st dimension. Tensor 'image_tensor' has invalid shape '[None, None, None, 3]'   ",47827,closed,https://github.com/tensorflow/tensorflow/issues/47827
Prefer tf.ones and tf.zeros over tf.fill,47826,closed,https://github.com/tensorflow/tensorflow/issues/47826
Construct scalar constants directly instead of calling zeros([]) or ones([]),47825,open,https://github.com/tensorflow/tensorflow/issues/47825
Pip installation issue,47824,open,https://github.com/tensorflow/tensorflow/issues/47824
Fix AddExpandDims() in lite/micro/micro_mutable_op_resolver.h,47823,closed,https://github.com/tensorflow/tensorflow/issues/47823
[TFLM] Add support for optimized DEPTHWISE_CONV2D for CEVA-DSP BX1 and SP500,47822,open,https://github.com/tensorflow/tensorflow/issues/47822
Fix typo in Normalization layer doc,47821,closed,https://github.com/tensorflow/tensorflow/issues/47821
"OOM when allocating tensor with shape[3,3,512,1024] and type float on /job:localhost/replica:0/task:0/device:GPU:0 by allocator GPU_0_bfc [Op:Mul]",47820,closed,https://github.com/tensorflow/tensorflow/issues/47820
UnboundLocalError: local variable 'kwargs' referenced before assignment,47819,open,https://github.com/tensorflow/tensorflow/issues/47819
Add Resnet-18 and Resnet-34 in tf.keras.applications.,47818,open,https://github.com/tensorflow/tensorflow/issues/47818
HEAD build wants bazel >= 3.7.4 and <4.0.0 which are unavailable,47817,closed,https://github.com/tensorflow/tensorflow/issues/47817
tf.keras Lambda layer fails to infer output shape when run_functions_eagerly is set to True,47816,open,https://github.com/tensorflow/tensorflow/issues/47816
TensorFlow 2.4.1 offline build fails,47815,open,https://github.com/tensorflow/tensorflow/issues/47815
micro: port op L2_POOL_2D from lite,47814,open,https://github.com/tensorflow/tensorflow/issues/47814
Tensorflow lite lstm/bilstm reset variables why needed ? Can we avoid reset variables. ,47813,open,https://github.com/tensorflow/tensorflow/issues/47813
Does anymore know how to install for tensorflow version 1.01 in google colabs ,47812,closed,https://github.com/tensorflow/tensorflow/issues/47812
Stabilize the order of definitions in schema_py_generated.py,47811,closed,https://github.com/tensorflow/tensorflow/issues/47811
Sort and deduplicate generated _names_with_underscore,47810,closed,https://github.com/tensorflow/tensorflow/issues/47810
silently crash,47809,open,https://github.com/tensorflow/tensorflow/issues/47809
Update mobilenet_v3.py,47808,closed,https://github.com/tensorflow/tensorflow/issues/47808
The GPU memory allocate logic bug in tensorflow 1.15,47807,open,https://github.com/tensorflow/tensorflow/issues/47807
TFLM Magic Wand example perform late ,47806,open,https://github.com/tensorflow/tensorflow/issues/47806
Hello World Example not supported in Himax WE-1 board. ,47805,open,https://github.com/tensorflow/tensorflow/issues/47805
Quadratic slowdown on LSTM models in tflite,47804,open,https://github.com/tensorflow/tensorflow/issues/47804
Port TFL operator GATHER to TFLM,47803,open,https://github.com/tensorflow/tensorflow/issues/47803
module 'gast' has no attribute 'Constant',47802,closed,https://github.com/tensorflow/tensorflow/issues/47802
[TFLM] Added support for optimized CONV2D for CEVA-DSP BX1 and SP500 platforms,47801,open,https://github.com/tensorflow/tensorflow/issues/47801
Tensorflow (Using TensorFlow backend.),47800,open,https://github.com/tensorflow/tensorflow/issues/47800
Process finished with exit code 132 (interrupted by signal 4: SIGILL),47799,open,https://github.com/tensorflow/tensorflow/issues/47799
Cuda Error for CNN,47798,open,https://github.com/tensorflow/tensorflow/issues/47798
Length for attr 'output_shapes' of 0 must be at least minimum 1,47797,open,https://github.com/tensorflow/tensorflow/issues/47797
my changes => your changes,47796,open,https://github.com/tensorflow/tensorflow/issues/47796
distribution strategy in tensorflow,47795,closed,https://github.com/tensorflow/tensorflow/issues/47795
undefined symbol: _ZN10tensorflow8OpKernel11TraceStringEPNS_15OpKernelContextEb,47794,open,https://github.com/tensorflow/tensorflow/issues/47794
  programs that use this library are impossible to understand,47793,closed,https://github.com/tensorflow/tensorflow/issues/47793
Retracing happens when using eager execution for custom code,47792,open,https://github.com/tensorflow/tensorflow/issues/47792
Inconsistent Embedding Layer functionality when initialized under MirroredStrategy(),47791,open,https://github.com/tensorflow/tensorflow/issues/47791
micro: CUMSUM PR3-5,47790,open,https://github.com/tensorflow/tensorflow/issues/47790
ImageResizerState's public function contains redundant arguments,47789,open,https://github.com/tensorflow/tensorflow/issues/47789
Remove redundant arguments of ImageResizerState's API,47788,open,https://github.com/tensorflow/tensorflow/issues/47788
Inference for WeightNormalization,47787,closed,https://github.com/tensorflow/tensorflow/issues/47787
"InvalidArgumentError:  indices[112,8] = -1 is not in [0, 32)",47786,open,https://github.com/tensorflow/tensorflow/issues/47786
tape.batch_jacobian gives different results if changing parallel_iterations,47785,open,https://github.com/tensorflow/tensorflow/issues/47785
[TFLM] Added optimized softmax kernel (int32 and float) for CEVA-BX1 and CEVA SP500,47783,closed,https://github.com/tensorflow/tensorflow/issues/47783
M1 arm64 release binaries,47782,open,https://github.com/tensorflow/tensorflow/issues/47782
"[TFLM] Added support for optimized quantize kernel, CEVA-BX1 & SP500",47781,closed,https://github.com/tensorflow/tensorflow/issues/47781
Inconsistency in tf.keras.models.Model.fit() doc,47780,open,https://github.com/tensorflow/tensorflow/issues/47780
TensorFlow Lite object detection example code does not work with custom trained model,47779,open,https://github.com/tensorflow/tensorflow/issues/47779
python crashes without error performing a tensorflow operation on a new GPU,47778,closed,https://github.com/tensorflow/tensorflow/issues/47778
enh: allow stateless numpy function,47777,open,https://github.com/tensorflow/tensorflow/issues/47777
flow_from_directory doesn't create enough batches,47776,open,https://github.com/tensorflow/tensorflow/issues/47776
Update of --config=mkl_aarch64 with Compute Library support,47775,open,https://github.com/tensorflow/tensorflow/issues/47775
Legacy C++ gradients for PartitionedCall and StatefulPartitionedCall,47774,open,https://github.com/tensorflow/tensorflow/issues/47774
Update dockerfiles to CUDA 11.2,47773,closed,https://github.com/tensorflow/tensorflow/issues/47773
[determinism] Add segment reduction op exceptions for GPU determinism,47772,closed,https://github.com/tensorflow/tensorflow/issues/47772
tf.keras.layers.Input with ragged=True is not setting uniform outer dimensions,47771,open,https://github.com/tensorflow/tensorflow/issues/47771
TF2.5 quietly fails after 'Created TensorFlow device' step,47770,open,https://github.com/tensorflow/tensorflow/issues/47770
tensorflow.keras.utils.Sequence does not work with TPU,47769,open,https://github.com/tensorflow/tensorflow/issues/47769
Do not specialize eigen convolution classes for ppc64le arch,47768,closed,https://github.com/tensorflow/tensorflow/issues/47768
lite: nnapi: Check memory mapping errors after NNMemory(),47767,closed,https://github.com/tensorflow/tensorflow/issues/47767
[tf.data] move checkpoint tests to kernel tests part 6,47766,closed,https://github.com/tensorflow/tensorflow/issues/47766
Converting models with mutable resource variable with v2 TFLiteConveter,47765,open,https://github.com/tensorflow/tensorflow/issues/47765
validate_indices is deprecated and will be removed in a future version. Instructions for updating: The `validate_indices` argument has no effect. Indices are always validated on CPU and never validated on GPU.?,47764,open,https://github.com/tensorflow/tensorflow/issues/47764
Clarify behavior of array_to_img(scale=True),47763,open,https://github.com/tensorflow/tensorflow/issues/47763
Fix build failure undefined reference to hwloc_linuxio_component on aarch64,47762,closed,https://github.com/tensorflow/tensorflow/issues/47762
Critical loss of accuracy when converting from MobileNet V2 model to tflite,47761,open,https://github.com/tensorflow/tensorflow/issues/47761
Slower and bigger model after int8 quantization,47760,open,https://github.com/tensorflow/tensorflow/issues/47760
Cuda version should be 11 instead of 10 in Install CUDA with apt(docs),47759,open,https://github.com/tensorflow/tensorflow/issues/47759
estimator guide page  doesn't work!,47758,closed,https://github.com/tensorflow/tensorflow/issues/47758
Getting issues while evaluting the object detection model on tensorflow 2.O,47757,closed,https://github.com/tensorflow/tensorflow/issues/47757
"Some of the operators in the model are not supported by the standard TensorFlow Lite runtime. If those are native TensorFlow operators, you might be able to use the extended runtime by passing --enable_select_tf_ops, or by setting target_ops=TFLITE_BUILTINS,SELECT_TF_OPS when calling tf.lite.TFLiteConverter(). Otherwise, if you have a custom implementation for them you can disable this error with --allow_custom_ops, or by setting allow_custom_ops=True when calling tf.lite.TFLiteConverter(). Here is a list of builtin operators you are using: ADD, CONCATENATION, CONV_2D, MUL, PACK, RESHAPE, SHAPE, STRIDED_SLICE, TRANSPOSE_CONV. Here is a list of operators for which you will need custom implementations: Conv3D, Conv3DBackpropInputV2, MaxPool3D.",47756,closed,https://github.com/tensorflow/tensorflow/issues/47756
Cached augmentation in segmentation tutorial - this does not increase dataset size,47755,open,https://github.com/tensorflow/tensorflow/issues/47755
Support tflite kernel unittest in cmake.,47754,open,https://github.com/tensorflow/tensorflow/issues/47754
I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library cudart64_110.dll,47753,open,https://github.com/tensorflow/tensorflow/issues/47753
Tensorflow Random segmentation faults,47752,open,https://github.com/tensorflow/tensorflow/issues/47752
Any way to train a TF1 graph in TF2 without using tf.compat.v1.Session?,47751,open,https://github.com/tensorflow/tensorflow/issues/47751
Dataset Iterator fails with exception: InvalidArgumentError: Requires delta != 0: 0,47750,closed,https://github.com/tensorflow/tensorflow/issues/47750
WIP:[determinism] Add GPU determinisim for fp types in GPU SparseTensorDenseMatMul,47749,open,https://github.com/tensorflow/tensorflow/issues/47749
C API gradient tape support,47748,open,https://github.com/tensorflow/tensorflow/issues/47748
Fix Non max suppression float16 kernel,47747,open,https://github.com/tensorflow/tensorflow/issues/47747
Failed to convert QAT model to tflite when I use tf.lite.OpsSet.EXPERIMENTAL_TFLITE_BUILTINS_ACTIVATIONS_INT16_WEIGHTS_INT8,47746,open,https://github.com/tensorflow/tensorflow/issues/47746
[INTEL MKL] Enabling TF + OneDNN in stock TF build,47745,open,https://github.com/tensorflow/tensorflow/issues/47745
undeclared includion error when building libtensorflowlite.so,47744,open,https://github.com/tensorflow/tensorflow/issues/47744
[Intel MKL] Upgrading to oneDNN 2.1,47743,closed,https://github.com/tensorflow/tensorflow/issues/47743
"Error while using tensorflow==2.4.1  #tensorflow-probability==0.12.1, for the code that works with TF1.15 and TFP 0.8.0",47742,open,https://github.com/tensorflow/tensorflow/issues/47742
What is the supported sequence length of bert-tiny and bert-small?,47741,closed,https://github.com/tensorflow/tensorflow/issues/47741
Update core.py,47740,closed,https://github.com/tensorflow/tensorflow/issues/47740
The code does not work,47739,closed,https://github.com/tensorflow/tensorflow/issues/47739
Change a1825c95 breaks TFLite for Raspberry Pi,47738,closed,https://github.com/tensorflow/tensorflow/issues/47738
Building TFLite Python wheel consumes excessive memory,47737,closed,https://github.com/tensorflow/tensorflow/issues/47737
I cannot predict with f.data.experimental.bucket_by_sequence_length,47736,open,https://github.com/tensorflow/tensorflow/issues/47736
Update normalization_v2.py,47735,closed,https://github.com/tensorflow/tensorflow/issues/47735
Add \r and \n to DEFAULT_STRIP_REGEX,47734,closed,https://github.com/tensorflow/tensorflow/issues/47734
Note tf.cast truncates floating-point when casting to integral types,47733,closed,https://github.com/tensorflow/tensorflow/issues/47733
micro: CUMSUM PR2,47732,open,https://github.com/tensorflow/tensorflow/issues/47732
micro: CUMSUM PR1,47731,closed,https://github.com/tensorflow/tensorflow/issues/47731
[ROCm] Fix for ROCm CSB breakage - 210311,47730,closed,https://github.com/tensorflow/tensorflow/issues/47730
keras.io List of topics on the right cannot be navigated,47729,open,https://github.com/tensorflow/tensorflow/issues/47729
fit_generator is calling __getitem__ with id=0 twice in the first epoch,47728,open,https://github.com/tensorflow/tensorflow/issues/47728
Fix typo on post_training_float16_quant.ipynb,47727,closed,https://github.com/tensorflow/tensorflow/issues/47727
"updated convolutional_recurrent.py to include 1D, 2D, and 3D ConvLSTM instances.",47726,open,https://github.com/tensorflow/tensorflow/issues/47726
Keras tuner - Incorrect parameters for model training,47725,closed,https://github.com/tensorflow/tensorflow/issues/47725
GPU and CPU gradients diverge in TF 2.4 for approximate gelu activation,47724,closed,https://github.com/tensorflow/tensorflow/issues/47724
Still unable to install in python 3.9(64 BIT) in windows 10 ,47723,closed,https://github.com/tensorflow/tensorflow/issues/47723
keras.MultiHeadAttention fails to save / load weights correctly,47722,open,https://github.com/tensorflow/tensorflow/issues/47722
TF C-API GPU not found via TF_SessionListDevices,47721,open,https://github.com/tensorflow/tensorflow/issues/47721
mportError: DLL load failed while importing _pywrap_tensorflow_internal: The specified module could not be found.,47720,closed,https://github.com/tensorflow/tensorflow/issues/47720
ValueError: Input tensors to a Functional must come from `tf.keras.Input`. Received: 0 (missing previous layer metadata).,47719,open,https://github.com/tensorflow/tensorflow/issues/47719
Suppressed warnings in cortex_m_generic_makefile and cortex_m_corstone_300_makefile,47718,open,https://github.com/tensorflow/tensorflow/issues/47718
Feeding a batch of different image shapes for a model with dynamic input shape,47717,open,https://github.com/tensorflow/tensorflow/issues/47717
KeyError: 'custom_node:0' when loading saved model contains a custom node that already implement via register_ops.,47716,closed,https://github.com/tensorflow/tensorflow/issues/47716
TF Lite GPU Delegate produces weird output,47715,open,https://github.com/tensorflow/tensorflow/issues/47715
I found maybe a bug about model.predict() and model.evaluate(),47714,closed,https://github.com/tensorflow/tensorflow/issues/47714
tf.variable_scope with custom_getter in TF2,47713,closed,https://github.com/tensorflow/tensorflow/issues/47713
The Risk of posix_memalign in Ruy which TensorFlow Lite used.,47712,open,https://github.com/tensorflow/tensorflow/issues/47712
std symbols undefined while compiling libtensorflowlite.so for android,47711,open,https://github.com/tensorflow/tensorflow/issues/47711
Unable to build tensorflow lite standalone pip package for raspberrypi zero,47710,open,https://github.com/tensorflow/tensorflow/issues/47710
Pip install issue,47709,closed,https://github.com/tensorflow/tensorflow/issues/47709
[TFLM] Added ceva.inc file in ext_libs so optimized kernels get pulled in,47708,closed,https://github.com/tensorflow/tensorflow/issues/47708
[XLA:GPU]: Re-47398 + AMD fix + missing commits.,47707,closed,https://github.com/tensorflow/tensorflow/issues/47707
Training stalls after saving checkpoint 0,47706,closed,https://github.com/tensorflow/tensorflow/issues/47706
Could not load libcusolver.so.10 with tf-nightly-gpu,47705,closed,https://github.com/tensorflow/tensorflow/issues/47705
